Mark Thornton;2
Mark Tonderai;2
Martin Gorst;2
Masaru Matsumoto;2
Mary Harron;2
Maryo J. De los Reyes;2
Masaaki Yuasa;2
Mateo Gil;2
Matt Kugelman;2
Michael Winterbottom;2
Mike Binder;2
Mike Birbiglia;2
Miguel Arteta;2
Miguel Cohan;2
Michael Goguen;2
Michael Patrick King;2
Michael J. Bassett;2
Michael Showalter;2
Mohamed Diab;2
Mitch Schauer;2
Mikhil Musale;2
Mohit Suri;2
Muharrem Gülmez;2
Mukul Anand;2
Mariano Cohn;2
Marcelo Galvão;2
Måns Mårlind;2
Makarand Mane;2
Mahsun Kirmizigül;2
Mana Yasuda;2
Manish Jha;2
Malcolm D. Lee;2
Malik Nejer;2
Lynn Novick;2
Madeleine Parry;2
Mag Hsu;2
M. Night Shyamalan;2
Kunal Kohli;2
Luis Alfaro;2
Luis Lopez;2
Luv Ranjan;2
Liz Garbus;2
Luis Estrada;2
Luis Valdez;2
Leslie Iwerks;2
Luc Vinciguerra;2
Lucky Kuswandi;2
Leo Riley;2
Lewis Milestone;2
Liam Lynch;2
Liam O'Donnell;2
Lars von Trier;2
Lee Hirsch;2
Laxman Utekar;2
Larry Latham;2
Laura Brownson;2
Paul Haggis;2
Patryk Vega;2
Paul Andrew Williams;2
Paul Solet;2
Paul Soriano;2
Park Hoon-jung;2
Pascal Amanfo;2
Parkpoom Wongpoom;2
Parambrata Chatterjee;2
Patricia Font;2
Patricia Rozema;2
Patrick Brice;2
Paco Plaza;2
Padmakumar Narasimhamurthy;2
Oriol Paulo;2
Oz Rodriguez;2
Oluseyi Asurf;2
Olivier Marchal;2
Olivier Megaton;2
Osgood Perkins;2
Oliver Twinch;2
Neil Jordan;2
Nawapol Thamrongrattanarit;2
Navaniat Singh;2
Nelson McCormick;2
Nia Dinata;2
Nicholas Kharkongor;2
Neill Blomkamp;2
Nick Broomfield;2
Naoko Yamada;2
Nagraj Manjule;2
Najwa Najjar;2
N. Linguswamy;2
Mysskin;2
Nadia Hallgren;2
Norman Jewison;2
Noam Murro;2
Morgan Spurlock;2
Nitesh Tiwari;2
Nikhil Advani;2
Nick Castle;2
Nicolás López;2
Nicolas Pesce;2
Peter Lepeniotis;2
Pete Travis;2
Peter Berg;2
Peter Chelsom;2
Peter Sullivan;2
Peter Orton;2
Paul Verhoeven;2
Peter Hutchings;2
Phil Weinstein;2
Pierre Morel;2
Philipp Stölzl;2
Punit Malhotra;2
R. Ellis Frazier;2
Rachel Grady;2
Raditya Dika;2
Richard Bailey;2
Rhys Thomas;2
Rian Johnson;2
Renzil D'Silva;2
Richard Rich;2
Richard LaGravenese;2
Rob Marshall;2
Rizal Mantovani;2
Ridley Scott;2
Rebecca Zlotowski;2
Reema Kagti;2
Rashida Jones;2
Rajat Kapoor;2
Ramsey Nouah;2
Randal Kleiser;2
Randall Lobb;2
Dimitri Logothetis;2
Dominic Sena;2
Duncan Jones;2
Don Bluth;2
Eduardo Chauvet;2
Dino Risi;2
Derek Cianfrance;2
Dharmesh Darshan;2
David Pablos;2
David Pastor;2
David Paul Meyer;2
Dennie Gordon;2
Dee Rees;2
Delhiprasad Deenadayalan;2
Demetri Martin;2
Davis Guggenheim;2
David Sington;2
David O. Russell;2
David Gordon Green;2
Darren Lynn Bousman;2
Dave Higby;2
David Dobkin;2
David E. Talbert;2
David Fairhead;2
Daniel Alfredson;2
Daniel Benmayor;2
Damián Romay;2
Dan Forrer;2
Dan Gilroy;2
Cristi Puiu;2
Dallas Jackson;2
Damien O’Connor;2
Daniel Calparsoro;2
Daniel Gray Longino;2
Daniel Kontur;2
Daniel Oriahi;2
Daniel Stamm;2
Daniel Lindsay;2
Daniel Mann;2
Danny Boyle;2
Courtney Hunt;2
Colin Trevorrow;2
Corey Yuen;2
Bunmi Ajakaiye;2
